[2026-01-29 19:30:08,787] ERROR: Gagal download NOBU.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/NOBU.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257806&period2=1769689806
[2026-01-29 19:30:08,788] INFO: [NOBU] Gagal mengambil data.
[2026-01-29 19:30:09,388] INFO: [OCAP] Selesai. +3 data baru.
[2026-01-29 19:30:09,661] ERROR: Gagal download PALM.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/PALM.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257808&period2=1769689808
[2026-01-29 19:30:09,663] INFO: [PALM] Gagal mengambil data.
[2026-01-29 19:30:09,679] INFO: [PANS] Selesai. +4 data baru.
[2026-01-29 19:30:10,192] INFO: [PLAS] Selesai. +3 data baru.
[2026-01-29 19:30:10,346] ERROR: Gagal download PEGE.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/PEGE.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257808&period2=1769689808
[2026-01-29 19:30:10,348] INFO: [PEGE] Gagal mengambil data.
[2026-01-29 19:30:10,899] ERROR: Gagal download PNBS.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/PNBS.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257809&period2=1769689809
[2026-01-29 19:30:10,901] INFO: [PNBS] Gagal mengambil data.
[2026-01-29 19:30:11,088] INFO: [PNBN] Selesai. +4 data baru.
[2026-01-29 19:30:11,347] ERROR: Gagal download PNLF.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/PNLF.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257810&period2=1769689810
[2026-01-29 19:30:11,349] INFO: [PNLF] Gagal mengambil data.
[2026-01-29 19:30:11,669] INFO: [PNIN] Selesai. +4 data baru.
[2026-01-29 19:30:12,141] ERROR: Gagal download RELI.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/RELI.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257810&period2=1769689810
[2026-01-29 19:30:12,142] INFO: [RELI] Gagal mengambil data.
[2026-01-29 19:30:12,700] ERROR: Gagal download POOL.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/POOL.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257810&period2=1769689810
[2026-01-29 19:30:12,702] INFO: [POOL] Gagal mengambil data.
[2026-01-29 19:30:12,838] ERROR: Gagal download SDRA.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/SDRA.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257811&period2=1769689811
[2026-01-29 19:30:12,839] INFO: [SDRA] Gagal mengambil data.
[2026-01-29 19:30:12,982] INFO: [SMMA] Selesai. +4 data baru.
[2026-01-29 19:30:13,545] ERROR: Gagal download SRTG.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/SRTG.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257811&period2=1769689811
[2026-01-29 19:30:13,547] INFO: [SRTG] Gagal mengambil data.
[2026-01-29 19:30:13,911] ERROR: Gagal download TIFA.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/TIFA.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257812&period2=1769689812
[2026-01-29 19:30:13,912] INFO: [TIFA] Gagal mengambil data.
[2026-01-29 19:30:14,008] INFO: [STAR] Selesai. +3 data baru.
